周次,课堂主学段,老师ID,老师艺名,教学老师五级部门,教学老师六级部门,课中首答正确率,课中末答正确率,课后首答正确率,课后末答正确率,作业完成率,预习率,小老师视频提交率,出勤率
W1,S3-S5,5607.0,小壹老師,海外益智台湾教学区,台湾01组,0.72566,0.97177,,0.97321,0.8,0.88571,0.12857,
W1,S1-S2,11032.0,桔桔老師,海外益智台湾教学区,台湾01组,,,,,0.89286,0.67857,0.21429,
W1,S6-S7,7498.0,青魚老師,海外益智台湾教学区,台湾01组,0.7217,0.97382,0.79487,0.99359,0.86667,,,1.0
W1,S3-S5,7560.0,阿魚老師,海外益智台湾教学区,台湾01组,0.81642,0.97908,,0.97436,0.82979,0.97872,0.17021,
W1,S6-S7,9025.0,樂羊羊老師,海外益智台湾教学区,台湾01组,0.72615,0.9951,0.72222,0.94872,0.76471,,,0.96226
W1,S3-S5,10726.0,星星雨老師,海外益智台湾教学区,台湾01组,0.8572,0.92667,,0.99187,0.82,0.9,0.36,
W1,S3-S5,69344.0,lala老師,海外益智台湾教学区,台湾01组,0.73961,0.94634,,0.95968,0.79487,0.88462,0.23077,
W1,S3-S5,72847.0,青豌豆老師,海外益智台湾教学区,台湾01组,0.79154,1.0,,0.91667,0.63889,0.88889,0.16667,
W1,S1-S2,73164.0,曲奇餅乾老師,海外益智台湾教学区,台湾01组,,,,,0.88462,0.96154,0.34615,
W1,S3-S5,73567.0,卷卷兒老師,海外益智台湾教学区,台湾01组,0.77395,0.98013,,0.96667,0.78571,0.94286,0.2,
W1,S1-S2,75993.0,粉紅魚老師,海外益智台湾教学区,台湾01组,,,,,0.90323,0.87097,0.40323,
W1,S3-S5,76029.0,粉栗子老師,海外益智台湾教学区,台湾01组,0.74458,1.0,,0.68333,0.71429,0.78571,0.35714,
W1,S3-S5,76135.0,蘇心老師,海外益智台湾教学区,台湾01组,0.76534,0.99758,,0.96377,0.77966,0.83051,0.10169,
W1,S1-S2,4735.0,果凍老師,海外益智台湾教学区,台湾01组,,,,,0.79487,0.89744,0.5641,
W1,S3-S5,76328.0,櫻桃老師,海外益智台湾教学区,台湾01组,0.76999,1.0,,0.86022,0.68889,0.86667,0.06667,
